Date,BUDAPEST,BUDAPEST.L2,BARANYA.L3,CSONGRAD.L3,CSONGRAD.L8,GYOR.L1,GYOR.L9,GYOR.L12,HAJDU.L8,HEVES.L5,HEVES.L7,JASZ.L1,KOMAROM.L10,KOMAROM.L11,NOGRAD.L2,NOGRAD.L5,NOGRAD.L9,SOMOGY.L5,SOMOGY.L10,SOMOGY.L11,TOLNA.L3,TOLNA.L4,TOLNA.L7,ZALA.L1,ZALA.L3,ZALA.L9,ZALA.L10,ZALA.L14,ZALA.L15
08/09/2014,114,129.0,83.0,54.0,65.0,111.0,175.0,131.0,194.0,21.0,34.0,124.0,56.0,97.0,26.0,10.0,21.0,55.0,104.0,59.0,8.0,40.0,31.0,22.0,38.0,54.0,70.0,44.0,26.0
01/09/2014,98,113.0,53.0,41.0,64.0,119.0,105.0,181.0,119.0,41.0,57.0,141.0,70.0,56.0,7.0,25.0,12.0,49.0,70.0,104.0,25.0,8.0,26.0,23.0,30.0,42.0,54.0,31.0,44.0
25/08/2014,140,114.0,74.0,66.0,81.0,131.0,154.0,118.0,117.0,42.0,21.0,97.0,46.0,70.0,26.0,6.0,6.0,41.0,116.0,70.0,13.0,25.0,23.0,32.0,22.0,54.0,42.0,60.0,31.0
18/08/2014,120,98.0,50.0,48.0,48.0,146.0,107.0,175.0,171.0,35.0,41.0,224.0,73.0,46.0,27.0,26.0,9.0,50.0,68.0,116.0,6.0,13.0,40.0,47.0,23.0,43.0,54.0,60.0,60.0
11/08/2014,173,140.0,66.0,40.0,48.0,123.0,148.0,105.0,76.0,70.0,42.0,97.0,91.0,73.0,22.0,7.0,10.0,55.0,62.0,68.0,2.0,6.0,8.0,21.0,32.0,36.0,43.0,70.0,60.0
04/08/2014,135,120.0,81.0,51.0,54.0,122.0,92.0,154.0,207.0,50.0,35.0,174.0,82.0,91.0,52.0,26.0,25.0,57.0,55.0,62.0,15.0,2.0,25.0,43.0,47.0,36.0,36.0,54.0,70.0
28/07/2014,143,173.0,46.0,25.0,41.0,123.0,128.0,107.0,123.0,51.0,70.0,99.0,72.0,82.0,44.0,27.0,6.0,42.0,49.0,55.0,28.0,15.0,13.0,34.0,21.0,38.0,36.0,42.0,54.0
21/07/2014,139,135.0,99.0,37.0,66.0,128.0,91.0,148.0,134.0,104.0,50.0,163.0,66.0,72.0,55.0,22.0,26.0,66.0,41.0,49.0,28.0,28.0,6.0,37.0,43.0,30.0,38.0,54.0,42.0
14/07/2014,155,143.0,62.0,27.0,48.0,79.0,111.0,92.0,157.0,96.0,51.0,99.0,51.0,66.0,39.0,52.0,7.0,42.0,50.0,41.0,33.0,28.0,2.0,47.0,34.0,22.0,30.0,43.0,54.0
07/07/2014,98,139.0,98.0,48.0,40.0,93.0,119.0,128.0,111.0,104.0,104.0,123.0,63.0,51.0,29.0,44.0,26.0,54.0,55.0,50.0,46.0,33.0,15.0,70.0,37.0,23.0,22.0,36.0,43.0
30/06/2014,87,155.0,30.0,30.0,51.0,62.0,131.0,91.0,65.0,103.0,96.0,82.0,59.0,63.0,30.0,55.0,27.0,42.0,57.0,55.0,23.0,46.0,28.0,18.0,47.0,32.0,23.0,36.0,36.0
23/06/2014,110,98.0,56.0,24.0,25.0,66.0,146.0,111.0,99.0,62.0,104.0,84.0,64.0,59.0,10.0,39.0,22.0,23.0,42.0,57.0,21.0,23.0,28.0,34.0,70.0,47.0,32.0,38.0,36.0
16/06/2014,70,87.0,40.0,13.0,37.0,41.0,123.0,119.0,252.0,83.0,103.0,58.0,124.0,64.0,10.0,29.0,52.0,13.0,66.0,42.0,22.0,21.0,33.0,14.0,18.0,21.0,47.0,30.0,38.0
09/06/2014,43,110.0,18.0,32.0,27.0,35.0,122.0,131.0,135.0,47.0,62.0,25.0,83.0,124.0,12.0,30.0,44.0,36.0,42.0,66.0,12.0,22.0,46.0,7.0,34.0,43.0,21.0,22.0,30.0
02/06/2014,37,70.0,15.0,20.0,48.0,16.0,123.0,146.0,95.0,42.0,83.0,26.0,105.0,83.0,7.0,10.0,55.0,12.0,54.0,42.0,8.0,12.0,23.0,9.0,14.0,34.0,43.0,23.0,22.0
26/05/2014,30,43.0,12.0,8.0,30.0,9.0,128.0,123.0,161.0,40.0,47.0,18.0,74.0,105.0,2.0,10.0,39.0,11.0,42.0,54.0,11.0,8.0,21.0,2.0,7.0,37.0,34.0,32.0,23.0
19/05/2014,21,37.0,12.0,6.0,24.0,1.0,79.0,122.0,150.0,18.0,42.0,9.0,146.0,74.0,2.0,12.0,29.0,11.0,23.0,42.0,8.0,11.0,22.0,4.0,9.0,47.0,37.0,47.0,32.0
12/05/2014,22,30.0,4.0,6.0,13.0,12.0,93.0,123.0,40.0,25.0,40.0,2.0,82.0,146.0,5.0,7.0,30.0,6.0,13.0,23.0,4.0,8.0,12.0,1.0,2.0,70.0,47.0,21.0,47.0
05/05/2014,15,21.0,4.0,6.0,32.0,8.0,62.0,128.0,106.0,12.0,18.0,6.0,83.0,82.0,2.0,2.0,10.0,11.0,36.0,13.0,3.0,4.0,8.0,2.0,4.0,18.0,70.0,43.0,21.0
28/04/2014,11,22.0,1.0,3.0,20.0,7.0,66.0,79.0,49.0,5.0,25.0,5.0,81.0,83.0,0.0,2.0,10.0,5.0,12.0,36.0,2.0,3.0,11.0,2.0,1.0,34.0,18.0,34.0,43.0
21/04/2014,7,15.0,0.0,0.0,8.0,6.0,41.0,93.0,28.0,5.0,12.0,4.0,72.0,81.0,0.0,5.0,12.0,5.0,11.0,12.0,2.0,2.0,8.0,0.0,2.0,14.0,34.0,37.0,34.0
14/04/2014,12,11.0,1.0,3.0,6.0,2.0,35.0,62.0,18.0,5.0,5.0,7.0,43.0,72.0,3.0,2.0,7.0,2.0,11.0,11.0,1.0,2.0,4.0,0.0,2.0,7.0,14.0,47.0,37.0
07/04/2014,5,7.0,3.0,3.0,6.0,1.0,16.0,66.0,18.0,5.0,5.0,5.0,33.0,43.0,6.0,0.0,2.0,4.0,6.0,11.0,2.0,1.0,3.0,3.0,0.0,9.0,7.0,70.0,47.0
31/03/2014,17,12.0,1.0,1.0,6.0,2.0,9.0,41.0,5.0,2.0,5.0,9.0,20.0,33.0,4.0,0.0,2.0,2.0,11.0,6.0,2.0,2.0,2.0,16.0,0.0,2.0,9.0,18.0,70.0
24/03/2014,11,5.0,3.0,3.0,3.0,1.0,1.0,35.0,8.0,2.0,5.0,8.0,17.0,20.0,0.0,3.0,5.0,2.0,5.0,11.0,6.0,2.0,2.0,13.0,3.0,4.0,2.0,34.0,18.0
17/03/2014,27,17.0,2.0,1.0,0.0,5.0,12.0,16.0,3.0,5.0,2.0,12.0,4.0,17.0,4.0,6.0,2.0,3.0,5.0,5.0,5.0,6.0,1.0,17.0,16.0,1.0,4.0,14.0,34.0
10/03/2014,23,11.0,4.0,1.0,3.0,6.0,8.0,9.0,6.0,1.0,2.0,30.0,4.0,4.0,8.0,4.0,0.0,3.0,2.0,5.0,1.0,5.0,2.0,8.0,13.0,2.0,1.0,7.0,14.0
03/03/2014,30,27.0,3.0,0.0,3.0,8.0,7.0,1.0,1.0,3.0,5.0,20.0,3.0,4.0,15.0,0.0,0.0,6.0,4.0,2.0,3.0,1.0,2.0,16.0,17.0,2.0,2.0,9.0,7.0
24/02/2014,48,23.0,8.0,8.0,1.0,18.0,6.0,12.0,5.0,7.0,1.0,15.0,5.0,3.0,15.0,4.0,3.0,6.0,2.0,4.0,5.0,3.0,6.0,18.0,8.0,0.0,2.0,2.0,9.0
17/02/2014,37,30.0,9.0,18.0,3.0,20.0,2.0,8.0,5.0,7.0,3.0,23.0,1.0,5.0,13.0,8.0,6.0,5.0,2.0,2.0,10.0,5.0,5.0,40.0,16.0,0.0,0.0,4.0,2.0
10/02/2014,32,48.0,15.0,12.0,1.0,19.0,1.0,7.0,3.0,27.0,7.0,37.0,4.0,1.0,26.0,15.0,4.0,1.0,3.0,2.0,7.0,10.0,1.0,34.0,18.0,3.0,0.0,1.0,4.0
03/02/2014,49,37.0,12.0,19.0,1.0,27.0,2.0,6.0,21.0,11.0,7.0,25.0,4.0,4.0,10.0,15.0,0.0,17.0,3.0,3.0,25.0,7.0,3.0,44.0,40.0,16.0,3.0,2.0,1.0
27/01/2014,67,32.0,21.0,9.0,0.0,27.0,1.0,2.0,5.0,21.0,27.0,37.0,7.0,4.0,21.0,13.0,4.0,9.0,6.0,3.0,16.0,25.0,5.0,65.0,34.0,13.0,16.0,2.0,2.0
20/01/2014,106,49.0,9.0,24.0,8.0,34.0,5.0,1.0,32.0,23.0,11.0,45.0,21.0,7.0,39.0,26.0,8.0,17.0,6.0,6.0,22.0,16.0,10.0,38.0,44.0,17.0,13.0,0.0,2.0
13/01/2014,83,67.0,13.0,16.0,18.0,38.0,6.0,2.0,36.0,20.0,21.0,51.0,9.0,21.0,17.0,10.0,15.0,10.0,5.0,6.0,10.0,22.0,7.0,47.0,65.0,8.0,17.0,0.0,0.0
06/01/2014,114,106.0,28.0,28.0,12.0,25.0,8.0,1.0,20.0,21.0,23.0,49.0,22.0,9.0,28.0,21.0,15.0,5.0,1.0,5.0,32.0,10.0,25.0,40.0,38.0,16.0,8.0,3.0,0.0
30/12/2013,129,83.0,32.0,37.0,19.0,35.0,18.0,5.0,25.0,33.0,20.0,78.0,43.0,22.0,7.0,39.0,13.0,20.0,17.0,1.0,35.0,32.0,16.0,31.0,47.0,18.0,16.0,16.0,3.0
23/12/2013,189,114.0,24.0,9.0,9.0,47.0,20.0,6.0,14.0,15.0,21.0,45.0,48.0,43.0,44.0,17.0,26.0,38.0,9.0,17.0,77.0,35.0,22.0,107.0,40.0,40.0,18.0,13.0,16.0
16/12/2013,79,129.0,33.0,3.0,24.0,31.0,19.0,8.0,12.0,25.0,33.0,65.0,51.0,48.0,51.0,28.0,10.0,23.0,17.0,9.0,57.0,77.0,10.0,67.0,31.0,34.0,40.0,17.0,13.0
09/12/2013,163,189.0,42.0,48.0,16.0,28.0,27.0,18.0,27.0,35.0,15.0,30.0,52.0,51.0,48.0,7.0,21.0,51.0,10.0,17.0,71.0,57.0,32.0,43.0,107.0,44.0,34.0,8.0,17.0
02/12/2013,110,79.0,56.0,100.0,28.0,22.0,27.0,20.0,27.0,25.0,25.0,64.0,17.0,52.0,23.0,44.0,39.0,29.0,5.0,10.0,53.0,71.0,35.0,60.0,67.0,65.0,44.0,16.0,8.0
25/11/2013,158,163.0,8.0,26.0,37.0,35.0,34.0,19.0,11.0,32.0,35.0,30.0,49.0,17.0,53.0,51.0,17.0,79.0,20.0,5.0,37.0,53.0,77.0,45.0,43.0,38.0,65.0,18.0,16.0
18/11/2013,182,110.0,34.0,44.0,9.0,42.0,38.0,27.0,36.0,28.0,25.0,57.0,50.0,49.0,39.0,48.0,28.0,49.0,38.0,20.0,53.0,37.0,57.0,48.0,60.0,47.0,38.0,40.0,18.0
11/11/2013,136,158.0,35.0,48.0,3.0,59.0,25.0,27.0,55.0,13.0,32.0,47.0,31.0,50.0,33.0,23.0,7.0,61.0,23.0,38.0,51.0,53.0,71.0,85.0,45.0,40.0,47.0,34.0,40.0
04/11/2013,207,182.0,23.0,40.0,48.0,60.0,35.0,34.0,58.0,33.0,28.0,81.0,37.0,31.0,23.0,53.0,44.0,99.0,51.0,23.0,48.0,51.0,53.0,60.0,48.0,31.0,40.0,44.0,34.0
28/10/2013,251,136.0,25.0,121.0,100.0,82.0,47.0,38.0,51.0,19.0,13.0,74.0,20.0,37.0,24.0,39.0,51.0,97.0,29.0,51.0,93.0,48.0,37.0,76.0,85.0,107.0,31.0,65.0,44.0
21/10/2013,141,207.0,50.0,102.0,26.0,78.0,31.0,25.0,39.0,21.0,33.0,74.0,72.0,20.0,45.0,33.0,48.0,82.0,79.0,29.0,66.0,93.0,53.0,37.0,60.0,67.0,107.0,38.0,65.0
14/10/2013,193,251.0,51.0,85.0,44.0,33.0,28.0,35.0,64.0,10.0,19.0,102.0,55.0,72.0,39.0,23.0,23.0,145.0,49.0,79.0,55.0,66.0,51.0,58.0,76.0,43.0,67.0,47.0,38.0
07/10/2013,169,141.0,58.0,118.0,48.0,87.0,22.0,47.0,43.0,34.0,21.0,137.0,39.0,55.0,47.0,24.0,53.0,120.0,61.0,49.0,66.0,55.0,48.0,39.0,37.0,60.0,43.0,40.0,47.0
30/09/2013,141,193.0,62.0,85.0,40.0,49.0,35.0,31.0,81.0,19.0,10.0,82.0,46.0,39.0,52.0,45.0,39.0,120.0,99.0,61.0,47.0,66.0,93.0,81.0,58.0,45.0,60.0,31.0,40.0
23/09/2013,193,169.0,78.0,91.0,121.0,59.0,42.0,28.0,40.0,24.0,34.0,80.0,24.0,46.0,49.0,39.0,33.0,123.0,97.0,99.0,96.0,47.0,66.0,36.0,39.0,48.0,45.0,107.0,31.0
16/09/2013,359,141.0,48.0,131.0,102.0,52.0,59.0,22.0,69.0,30.0,19.0,104.0,38.0,24.0,53.0,47.0,23.0,101.0,82.0,97.0,85.0,96.0,55.0,42.0,81.0,85.0,48.0,67.0,107.0
09/09/2013,268,193.0,66.0,91.0,85.0,71.0,60.0,35.0,95.0,50.0,24.0,113.0,28.0,38.0,37.0,52.0,24.0,70.0,145.0,82.0,73.0,85.0,66.0,45.0,36.0,60.0,85.0,43.0,67.0
02/09/2013,168,359.0,30.0,152.0,118.0,76.0,82.0,42.0,44.0,12.0,30.0,104.0,23.0,28.0,40.0,49.0,45.0,47.0,120.0,145.0,86.0,73.0,47.0,22.0,42.0,76.0,60.0,60.0,43.0
26/08/2013,338,268.0,57.0,108.0,85.0,65.0,78.0,59.0,50.0,18.0,50.0,108.0,53.0,23.0,37.0,53.0,39.0,155.0,120.0,120.0,58.0,86.0,96.0,74.0,45.0,37.0,76.0,45.0,60.0
19/08/2013,186,168.0,139.0,165.0,91.0,68.0,33.0,60.0,48.0,28.0,12.0,89.0,29.0,53.0,32.0,37.0,47.0,43.0,123.0,120.0,82.0,58.0,85.0,62.0,22.0,58.0,37.0,48.0,45.0
12/08/2013,266,338.0,56.0,107.0,131.0,54.0,87.0,82.0,56.0,16.0,18.0,45.0,34.0,29.0,50.0,40.0,52.0,46.0,101.0,123.0,58.0,82.0,73.0,67.0,74.0,39.0,58.0,85.0,48.0
05/08/2013,240,186.0,68.0,82.0,91.0,69.0,49.0,78.0,35.0,23.0,28.0,120.0,34.0,34.0,22.0,37.0,49.0,81.0,70.0,101.0,85.0,58.0,86.0,30.0,62.0,81.0,39.0,60.0,85.0
29/07/2013,162,266.0,38.0,68.0,152.0,51.0,59.0,33.0,35.0,37.0,16.0,82.0,36.0,34.0,58.0,32.0,53.0,22.0,47.0,70.0,62.0,85.0,58.0,51.0,67.0,36.0,81.0,76.0,60.0
22/07/2013,264,240.0,72.0,149.0,108.0,85.0,52.0,87.0,18.0,25.0,23.0,34.0,61.0,36.0,31.0,50.0,37.0,42.0,155.0,47.0,92.0,62.0,82.0,37.0,30.0,42.0,36.0,37.0,76.0
15/07/2013,133,162.0,78.0,109.0,165.0,70.0,71.0,49.0,34.0,30.0,37.0,68.0,45.0,61.0,30.0,22.0,40.0,28.0,43.0,155.0,58.0,92.0,58.0,40.0,51.0,45.0,42.0,58.0,37.0
08/07/2013,201,264.0,60.0,118.0,107.0,66.0,76.0,59.0,25.0,22.0,25.0,64.0,59.0,45.0,57.0,58.0,37.0,22.0,46.0,43.0,51.0,58.0,85.0,31.0,37.0,22.0,45.0,39.0,58.0
01/07/2013,236,133.0,60.0,99.0,82.0,63.0,65.0,52.0,32.0,34.0,30.0,52.0,54.0,59.0,50.0,31.0,32.0,35.0,81.0,46.0,25.0,51.0,62.0,12.0,40.0,74.0,22.0,81.0,39.0
24/06/2013,111,201.0,51.0,51.0,68.0,118.0,68.0,71.0,37.0,28.0,22.0,23.0,44.0,54.0,27.0,30.0,50.0,14.0,22.0,81.0,118.0,25.0,92.0,26.0,31.0,62.0,74.0,36.0,81.0
17/06/2013,76,236.0,63.0,26.0,149.0,24.0,54.0,76.0,34.0,44.0,34.0,24.0,30.0,44.0,14.0,57.0,22.0,28.0,42.0,22.0,84.0,118.0,58.0,20.0,12.0,67.0,62.0,42.0,36.0
10/06/2013,52,111.0,70.0,27.0,109.0,29.0,69.0,65.0,25.0,26.0,28.0,2.0,70.0,30.0,5.0,50.0,58.0,19.0,28.0,42.0,26.0,84.0,51.0,9.0,26.0,30.0,67.0,45.0,42.0
03/06/2013,30,76.0,21.0,32.0,118.0,23.0,51.0,68.0,44.0,43.0,44.0,3.0,38.0,70.0,7.0,27.0,31.0,28.0,22.0,28.0,11.0,26.0,25.0,6.0,20.0,51.0,30.0,22.0,45.0
27/05/2013,30,52.0,54.0,3.0,99.0,12.0,85.0,54.0,61.0,19.0,26.0,8.0,87.0,38.0,4.0,14.0,30.0,19.0,35.0,22.0,23.0,11.0,118.0,1.0,9.0,37.0,51.0,74.0,22.0
20/05/2013,74,30.0,19.0,16.0,51.0,4.0,70.0,69.0,54.0,11.0,43.0,6.0,25.0,87.0,5.0,5.0,57.0,7.0,14.0,35.0,9.0,23.0,84.0,0.0,6.0,40.0,37.0,62.0,74.0
13/05/2013,45,30.0,5.0,11.0,26.0,2.0,66.0,51.0,30.0,6.0,19.0,1.0,88.0,25.0,3.0,7.0,50.0,9.0,28.0,14.0,5.0,9.0,26.0,0.0,1.0,31.0,40.0,67.0,62.0
06/05/2013,41,74.0,16.0,9.0,27.0,2.0,63.0,85.0,72.0,6.0,11.0,1.0,51.0,88.0,1.0,4.0,27.0,3.0,19.0,28.0,5.0,5.0,11.0,0.0,0.0,12.0,31.0,30.0,67.0
29/04/2013,20,45.0,1.0,1.0,32.0,2.0,118.0,70.0,17.0,2.0,6.0,0.0,46.0,51.0,0.0,5.0,14.0,4.0,28.0,19.0,0.0,5.0,23.0,2.0,0.0,26.0,12.0,51.0,30.0
22/04/2013,15,41.0,5.0,2.0,3.0,1.0,24.0,66.0,22.0,3.0,6.0,1.0,41.0,46.0,2.0,3.0,5.0,6.0,19.0,28.0,0.0,0.0,9.0,0.0,0.0,20.0,26.0,37.0,51.0
15/04/2013,11,20.0,1.0,6.0,16.0,1.0,29.0,63.0,4.0,4.0,2.0,2.0,15.0,41.0,2.0,1.0,7.0,1.0,7.0,19.0,0.0,0.0,5.0,2.0,2.0,9.0,20.0,40.0,37.0
08/04/2013,10,15.0,5.0,5.0,11.0,3.0,23.0,118.0,14.0,1.0,3.0,7.0,8.0,15.0,2.0,0.0,4.0,2.0,9.0,7.0,1.0,0.0,5.0,1.0,0.0,6.0,9.0,31.0,40.0
01/04/2013,9,11.0,3.0,0.0,9.0,7.0,12.0,24.0,13.0,4.0,4.0,10.0,1.0,8.0,2.0,2.0,5.0,2.0,3.0,9.0,0.0,1.0,0.0,3.0,2.0,1.0,6.0,12.0,31.0
25/03/2013,35,10.0,7.0,3.0,1.0,5.0,4.0,29.0,1.0,3.0,1.0,12.0,7.0,1.0,9.0,2.0,3.0,4.0,4.0,3.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,26.0,12.0
18/03/2013,20,9.0,3.0,1.0,2.0,9.0,2.0,23.0,2.0,4.0,4.0,15.0,12.0,7.0,12.0,2.0,1.0,1.0,6.0,4.0,3.0,1.0,0.0,10.0,3.0,0.0,0.0,20.0,26.0
11/03/2013,19,35.0,6.0,9.0,6.0,7.0,2.0,12.0,2.0,2.0,3.0,27.0,2.0,12.0,19.0,2.0,0.0,1.0,1.0,6.0,2.0,3.0,1.0,4.0,10.0,0.0,0.0,9.0,20.0
04/03/2013,51,20.0,1.0,4.0,5.0,8.0,2.0,4.0,1.0,9.0,4.0,17.0,4.0,2.0,4.0,9.0,2.0,6.0,2.0,1.0,5.0,2.0,0.0,12.0,10.0,2.0,0.0,6.0,9.0
25/02/2013,53,19.0,4.0,11.0,0.0,11.0,1.0,2.0,3.0,2.0,2.0,33.0,0.0,4.0,17.0,12.0,2.0,3.0,2.0,2.0,2.0,5.0,1.0,6.0,4.0,0.0,2.0,1.0,6.0
18/02/2013,77,51.0,3.0,19.0,3.0,9.0,1.0,2.0,3.0,11.0,9.0,53.0,4.0,0.0,7.0,19.0,2.0,6.0,4.0,2.0,0.0,2.0,3.0,18.0,12.0,2.0,0.0,0.0,1.0
11/02/2013,62,53.0,9.0,7.0,1.0,12.0,3.0,2.0,8.0,13.0,2.0,44.0,6.0,4.0,15.0,4.0,2.0,8.0,1.0,4.0,1.0,0.0,2.0,13.0,6.0,1.0,2.0,0.0,0.0
04/02/2013,93,77.0,16.0,20.0,9.0,13.0,7.0,1.0,7.0,7.0,11.0,41.0,4.0,6.0,18.0,17.0,9.0,4.0,1.0,1.0,1.0,1.0,5.0,16.0,18.0,3.0,1.0,0.0,0.0
28/01/2013,78,62.0,15.0,17.0,4.0,31.0,5.0,1.0,16.0,25.0,13.0,55.0,8.0,4.0,62.0,7.0,12.0,5.0,6.0,1.0,4.0,1.0,2.0,11.0,13.0,10.0,3.0,2.0,0.0
21/01/2013,82,93.0,24.0,18.0,11.0,31.0,9.0,3.0,16.0,28.0,7.0,59.0,3.0,8.0,41.0,15.0,19.0,7.0,3.0,6.0,8.0,4.0,0.0,32.0,16.0,10.0,10.0,0.0,2.0
14/01/2013,84,78.0,17.0,7.0,19.0,35.0,7.0,7.0,31.0,36.0,25.0,42.0,13.0,3.0,59.0,18.0,4.0,38.0,6.0,3.0,10.0,8.0,1.0,35.0,11.0,4.0,10.0,2.0,0.0
07/01/2013,58,82.0,24.0,39.0,7.0,41.0,8.0,5.0,46.0,56.0,28.0,59.0,4.0,13.0,8.0,62.0,17.0,15.0,8.0,6.0,7.0,10.0,1.0,32.0,32.0,12.0,4.0,1.0,2.0
31/12/2012,114,84.0,52.0,31.0,20.0,35.0,11.0,9.0,22.0,54.0,36.0,20.0,5.0,4.0,46.0,41.0,7.0,55.0,4.0,8.0,11.0,7.0,4.0,24.0,35.0,6.0,12.0,3.0,1.0
24/12/2012,145,58.0,53.0,11.0,17.0,65.0,9.0,7.0,42.0,50.0,56.0,65.0,9.0,5.0,1.0,59.0,15.0,49.0,5.0,4.0,18.0,11.0,8.0,42.0,32.0,18.0,6.0,10.0,3.0
17/12/2012,93,114.0,21.0,30.0,18.0,59.0,12.0,8.0,16.0,68.0,54.0,72.0,11.0,9.0,30.0,8.0,18.0,51.0,7.0,5.0,13.0,18.0,10.0,63.0,24.0,13.0,18.0,10.0,10.0
10/12/2012,129,145.0,39.0,28.0,7.0,56.0,13.0,11.0,57.0,105.0,50.0,36.0,4.0,11.0,106.0,46.0,62.0,87.0,38.0,7.0,17.0,13.0,7.0,36.0,42.0,16.0,13.0,4.0,10.0
03/12/2012,114,93.0,63.0,98.0,39.0,67.0,31.0,9.0,33.0,82.0,68.0,50.0,7.0,4.0,56.0,1.0,41.0,25.0,15.0,38.0,17.0,17.0,11.0,67.0,63.0,11.0,16.0,12.0,4.0
26/11/2012,86,129.0,38.0,21.0,31.0,66.0,31.0,12.0,44.0,138.0,105.0,45.0,14.0,7.0,64.0,30.0,59.0,82.0,55.0,15.0,12.0,17.0,18.0,54.0,36.0,32.0,11.0,6.0,12.0
19/11/2012,127,114.0,50.0,38.0,11.0,58.0,35.0,13.0,36.0,210.0,82.0,78.0,6.0,14.0,46.0,106.0,8.0,84.0,49.0,55.0,36.0,12.0,13.0,70.0,67.0,35.0,32.0,18.0,6.0
12/11/2012,106,86.0,55.0,48.0,30.0,74.0,41.0,31.0,32.0,103.0,138.0,126.0,22.0,6.0,36.0,56.0,46.0,37.0,51.0,49.0,14.0,36.0,17.0,35.0,54.0,32.0,35.0,13.0,18.0
05/11/2012,211,127.0,49.0,22.0,28.0,87.0,35.0,31.0,71.0,151.0,210.0,81.0,11.0,22.0,60.0,64.0,1.0,56.0,87.0,51.0,37.0,14.0,17.0,45.0,70.0,24.0,32.0,16.0,13.0
