Date,BUDAPEST,BUDAPEST.L3,BUDAPEST.L2,GYOR.L3,GYOR.L1,BUDAPEST.L1,PEST.L1
23/11/2009,46,62.0,82.0,21.0,43.0,56.0,99.0
16/11/2009,48,82.0,56.0,38.0,31.0,46.0,129.0
09/11/2009,124,56.0,46.0,43.0,46.0,48.0,104.0
02/11/2009,74,46.0,48.0,31.0,62.0,124.0,113.0
26/10/2009,116,48.0,124.0,46.0,38.0,74.0,128.0
19/10/2009,120,124.0,74.0,62.0,95.0,116.0,124.0
12/10/2009,101,74.0,116.0,38.0,64.0,120.0,137.0
05/10/2009,121,116.0,120.0,95.0,72.0,101.0,190.0
28/09/2009,160,120.0,101.0,64.0,93.0,121.0,148.0
21/09/2009,199,101.0,121.0,72.0,75.0,160.0,143.0
14/09/2009,147,121.0,160.0,93.0,78.0,199.0,272.0
07/09/2009,130,160.0,199.0,75.0,84.0,147.0,214.0
31/08/2009,175,199.0,147.0,78.0,70.0,130.0,191.0
24/08/2009,156,147.0,130.0,84.0,81.0,175.0,243.0
17/08/2009,185,130.0,175.0,70.0,59.0,156.0,151.0
10/08/2009,123,175.0,156.0,81.0,85.0,185.0,216.0
03/08/2009,151,156.0,185.0,59.0,59.0,123.0,145.0
27/07/2009,150,185.0,123.0,85.0,97.0,151.0,221.0
20/07/2009,169,123.0,151.0,59.0,70.0,150.0,205.0
13/07/2009,154,151.0,150.0,97.0,104.0,169.0,168.0
06/07/2009,68,150.0,169.0,70.0,42.0,154.0,253.0
29/06/2009,93,169.0,154.0,104.0,35.0,68.0,97.0
22/06/2009,74,154.0,68.0,42.0,54.0,93.0,70.0
15/06/2009,56,68.0,93.0,35.0,48.0,74.0,56.0
08/06/2009,35,93.0,74.0,54.0,24.0,56.0,37.0
01/06/2009,24,74.0,56.0,48.0,21.0,35.0,26.0
25/05/2009,11,56.0,35.0,24.0,10.0,24.0,7.0
18/05/2009,35,35.0,24.0,21.0,5.0,11.0,8.0
11/05/2009,11,24.0,11.0,10.0,1.0,35.0,4.0
04/05/2009,22,11.0,35.0,5.0,0.0,11.0,1.0
27/04/2009,8,35.0,11.0,1.0,1.0,22.0,8.0
20/04/2009,5,11.0,22.0,0.0,0.0,8.0,6.0
13/04/2009,23,22.0,8.0,1.0,0.0,5.0,3.0
06/04/2009,27,8.0,5.0,0.0,2.0,23.0,12.0
30/03/2009,33,5.0,23.0,0.0,2.0,27.0,18.0
23/03/2009,74,23.0,27.0,2.0,1.0,33.0,46.0
16/03/2009,57,27.0,33.0,2.0,2.0,74.0,36.0
09/03/2009,95,33.0,74.0,1.0,4.0,57.0,36.0
02/03/2009,73,74.0,57.0,2.0,0.0,95.0,56.0
23/02/2009,171,57.0,95.0,4.0,3.0,73.0,58.0
16/02/2009,206,95.0,73.0,0.0,3.0,171.0,108.0
09/02/2009,144,73.0,171.0,3.0,5.0,206.0,75.0
02/02/2009,155,171.0,206.0,3.0,8.0,144.0,118.0
26/01/2009,191,206.0,144.0,5.0,4.0,155.0,85.0
19/01/2009,125,144.0,155.0,8.0,17.0,191.0,115.0
12/01/2009,157,155.0,191.0,4.0,26.0,125.0,114.0
05/01/2009,121,191.0,125.0,17.0,8.0,157.0,74.0
29/12/2008,59,125.0,157.0,26.0,20.0,121.0,93.0
22/12/2008,333,157.0,121.0,8.0,38.0,59.0,155.0
15/12/2008,145,121.0,59.0,20.0,52.0,333.0,240.0
08/12/2008,208,59.0,333.0,38.0,27.0,145.0,86.0
01/12/2008,174,333.0,145.0,52.0,86.0,208.0,93.0
24/11/2008,128,145.0,208.0,27.0,57.0,174.0,108.0
17/11/2008,190,208.0,174.0,86.0,76.0,128.0,145.0
10/11/2008,228,174.0,128.0,57.0,42.0,190.0,77.0
03/11/2008,149,128.0,190.0,76.0,67.0,228.0,189.0
27/10/2008,181,190.0,228.0,42.0,41.0,149.0,142.0
20/10/2008,131,228.0,149.0,67.0,63.0,181.0,140.0
13/10/2008,227,149.0,181.0,41.0,51.0,131.0,120.0
06/10/2008,158,181.0,131.0,63.0,48.0,227.0,312.0
29/09/2008,168,131.0,227.0,51.0,38.0,158.0,199.0
22/09/2008,181,227.0,158.0,48.0,60.0,168.0,143.0
15/09/2008,138,158.0,168.0,38.0,55.0,181.0,145.0
08/09/2008,129,168.0,181.0,60.0,60.0,138.0,106.0
01/09/2008,161,181.0,138.0,55.0,50.0,129.0,195.0
25/08/2008,121,138.0,129.0,60.0,51.0,161.0,149.0
18/08/2008,128,129.0,161.0,50.0,60.0,121.0,172.0
11/08/2008,150,161.0,121.0,51.0,52.0,128.0,152.0
04/08/2008,146,121.0,128.0,60.0,50.0,150.0,152.0
28/07/2008,115,128.0,150.0,52.0,34.0,146.0,141.0
21/07/2008,120,150.0,146.0,50.0,25.0,115.0,93.0
14/07/2008,140,146.0,115.0,34.0,19.0,120.0,68.0
07/07/2008,73,115.0,120.0,25.0,23.0,140.0,95.0
30/06/2008,91,120.0,140.0,19.0,21.0,73.0,61.0
23/06/2008,71,140.0,73.0,23.0,28.0,91.0,103.0
16/06/2008,61,73.0,91.0,21.0,23.0,71.0,65.0
09/06/2008,19,91.0,71.0,28.0,14.0,61.0,16.0
02/06/2008,16,71.0,61.0,23.0,4.0,19.0,21.0
26/05/2008,11,61.0,19.0,14.0,6.0,16.0,6.0
19/05/2008,17,19.0,16.0,4.0,4.0,11.0,11.0
12/05/2008,14,16.0,11.0,6.0,3.0,17.0,6.0
05/05/2008,13,11.0,17.0,4.0,3.0,14.0,7.0
28/04/2008,22,17.0,14.0,3.0,3.0,13.0,3.0
21/04/2008,42,14.0,13.0,3.0,4.0,22.0,4.0
14/04/2008,4,13.0,22.0,3.0,1.0,42.0,6.0
07/04/2008,18,22.0,42.0,4.0,3.0,4.0,6.0
31/03/2008,6,42.0,4.0,1.0,1.0,18.0,10.0
24/03/2008,10,4.0,18.0,3.0,13.0,6.0,11.0
17/03/2008,60,18.0,6.0,1.0,12.0,10.0,15.0
10/03/2008,103,6.0,10.0,13.0,18.0,60.0,29.0
03/03/2008,31,10.0,60.0,12.0,22.0,103.0,17.0
25/02/2008,103,60.0,103.0,18.0,24.0,31.0,12.0
18/02/2008,44,103.0,31.0,22.0,22.0,103.0,17.0
11/02/2008,91,31.0,103.0,24.0,68.0,44.0,33.0
04/02/2008,83,103.0,44.0,22.0,36.0,91.0,71.0
28/01/2008,111,44.0,91.0,68.0,44.0,83.0,64.0
21/01/2008,91,91.0,83.0,36.0,31.0,111.0,66.0
14/01/2008,163,83.0,111.0,44.0,50.0,91.0,100.0
07/01/2008,28,111.0,91.0,31.0,27.0,163.0,92.0
31/12/2007,106,91.0,163.0,50.0,27.0,28.0,53.0
24/12/2007,291,163.0,28.0,27.0,73.0,106.0,179.0
17/12/2007,185,28.0,106.0,27.0,64.0,291.0,118.0
10/12/2007,197,106.0,291.0,73.0,124.0,185.0,184.0
03/12/2007,147,291.0,185.0,64.0,75.0,197.0,114.0
26/11/2007,192,185.0,197.0,124.0,38.0,147.0,96.0
19/11/2007,190,197.0,147.0,75.0,69.0,192.0,144.0
12/11/2007,147,147.0,192.0,38.0,53.0,190.0,100.0
05/11/2007,131,192.0,190.0,69.0,68.0,147.0,170.0
29/10/2007,149,190.0,147.0,53.0,44.0,131.0,98.0
22/10/2007,99,147.0,131.0,68.0,68.0,149.0,98.0
15/10/2007,233,131.0,149.0,44.0,63.0,99.0,98.0
08/10/2007,146,149.0,99.0,68.0,69.0,233.0,86.0
01/10/2007,182,99.0,233.0,63.0,86.0,146.0,89.0
24/09/2007,68,233.0,146.0,69.0,46.0,182.0,77.0
17/09/2007,180,146.0,182.0,86.0,140.0,68.0,91.0
10/09/2007,142,182.0,68.0,46.0,76.0,180.0,107.0
03/09/2007,80,68.0,180.0,140.0,48.0,142.0,86.0
27/08/2007,194,180.0,142.0,76.0,68.0,80.0,32.0
20/08/2007,286,142.0,80.0,48.0,81.0,194.0,70.0
13/08/2007,129,80.0,194.0,68.0,79.0,286.0,131.0
06/08/2007,93,194.0,286.0,81.0,102.0,129.0,104.0
30/07/2007,199,286.0,129.0,79.0,82.0,93.0,131.0
23/07/2007,120,129.0,93.0,102.0,84.0,199.0,93.0
16/07/2007,151,93.0,199.0,82.0,65.0,120.0,140.0
09/07/2007,88,199.0,120.0,84.0,68.0,151.0,113.0
02/07/2007,87,120.0,151.0,65.0,64.0,88.0,38.0
25/06/2007,67,151.0,88.0,68.0,45.0,87.0,107.0
18/06/2007,52,88.0,87.0,64.0,34.0,67.0,113.0
11/06/2007,65,87.0,67.0,45.0,16.0,52.0,31.0
04/06/2007,6,67.0,52.0,34.0,6.0,65.0,24.0
28/05/2007,64,52.0,65.0,16.0,6.0,6.0,30.0
21/05/2007,18,65.0,6.0,6.0,2.0,64.0,8.0
14/05/2007,3,6.0,64.0,6.0,1.0,18.0,9.0
07/05/2007,0,64.0,18.0,2.0,5.0,3.0,7.0
30/04/2007,13,18.0,3.0,1.0,3.0,0.0,3.0
23/04/2007,9,3.0,0.0,5.0,2.0,13.0,12.0
16/04/2007,4,0.0,13.0,3.0,1.0,9.0,11.0
09/04/2007,8,13.0,9.0,2.0,6.0,4.0,8.0
02/04/2007,12,9.0,4.0,1.0,8.0,8.0,5.0
26/03/2007,13,4.0,8.0,6.0,4.0,12.0,18.0
19/03/2007,31,8.0,12.0,8.0,6.0,13.0,12.0
12/03/2007,35,12.0,13.0,4.0,21.0,31.0,23.0
05/03/2007,8,13.0,31.0,6.0,13.0,35.0,16.0
26/02/2007,73,31.0,35.0,21.0,13.0,8.0,44.0
19/02/2007,77,35.0,8.0,13.0,21.0,73.0,44.0
12/02/2007,21,8.0,73.0,13.0,30.0,77.0,72.0
05/02/2007,104,73.0,77.0,21.0,12.0,21.0,54.0
29/01/2007,105,77.0,21.0,30.0,39.0,104.0,65.0
22/01/2007,92,21.0,104.0,12.0,19.0,105.0,69.0
15/01/2007,192,104.0,105.0,39.0,55.0,92.0,107.0
08/01/2007,2,105.0,92.0,19.0,20.0,192.0,90.0
01/01/2007,67,92.0,192.0,55.0,22.0,2.0,9.0
25/12/2006,283,192.0,2.0,20.0,47.0,67.0,129.0
18/12/2006,135,2.0,67.0,22.0,93.0,283.0,156.0
11/12/2006,129,67.0,283.0,47.0,40.0,135.0,240.0
04/12/2006,203,283.0,135.0,93.0,56.0,129.0,190.0
27/11/2006,152,135.0,129.0,40.0,36.0,203.0,166.0
20/11/2006,107,129.0,203.0,56.0,40.0,152.0,138.0
13/11/2006,185,203.0,152.0,36.0,31.0,107.0,128.0
06/11/2006,110,152.0,107.0,40.0,42.0,185.0,239.0
30/10/2006,138,107.0,185.0,31.0,47.0,110.0,196.0
23/10/2006,100,185.0,110.0,42.0,31.0,138.0,108.0
16/10/2006,228,110.0,138.0,47.0,41.0,100.0,160.0
09/10/2006,130,138.0,100.0,31.0,55.0,228.0,131.0
02/10/2006,137,100.0,228.0,41.0,38.0,130.0,331.0
25/09/2006,235,228.0,130.0,55.0,49.0,137.0,155.0
18/09/2006,138,130.0,137.0,38.0,47.0,235.0,168.0
11/09/2006,166,137.0,235.0,49.0,42.0,138.0,137.0
04/09/2006,122,235.0,138.0,47.0,86.0,166.0,144.0
28/08/2006,149,138.0,166.0,42.0,54.0,122.0,119.0
21/08/2006,124,166.0,122.0,86.0,54.0,149.0,126.0
14/08/2006,187,122.0,149.0,54.0,45.0,124.0,239.0
07/08/2006,195,149.0,124.0,54.0,46.0,187.0,133.0
31/07/2006,130,124.0,187.0,45.0,48.0,195.0,140.0
24/07/2006,126,187.0,195.0,46.0,24.0,130.0,129.0
17/07/2006,154,195.0,130.0,48.0,21.0,126.0,97.0
10/07/2006,149,130.0,126.0,24.0,40.0,154.0,121.0
03/07/2006,106,126.0,154.0,21.0,27.0,149.0,66.0
26/06/2006,151,154.0,149.0,40.0,10.0,106.0,56.0
19/06/2006,100,149.0,106.0,27.0,30.0,151.0,42.0
12/06/2006,91,106.0,151.0,10.0,8.0,100.0,34.0
05/06/2006,46,151.0,100.0,30.0,30.0,91.0,30.0
29/05/2006,38,100.0,91.0,8.0,10.0,46.0,62.0
22/05/2006,13,91.0,46.0,30.0,1.0,38.0,9.0
15/05/2006,22,46.0,38.0,10.0,0.0,13.0,8.0
08/05/2006,33,38.0,13.0,1.0,1.0,22.0,4.0
01/05/2006,9,13.0,22.0,0.0,6.0,33.0,4.0
24/04/2006,14,22.0,33.0,1.0,3.0,9.0,2.0
17/04/2006,48,33.0,9.0,6.0,20.0,14.0,0.0
10/04/2006,7,9.0,14.0,3.0,1.0,48.0,4.0
03/04/2006,18,14.0,48.0,20.0,8.0,7.0,6.0
27/03/2006,6,48.0,7.0,1.0,18.0,18.0,9.0
20/03/2006,21,7.0,18.0,8.0,13.0,6.0,20.0
13/03/2006,30,18.0,6.0,18.0,8.0,21.0,18.0
06/03/2006,21,6.0,21.0,13.0,26.0,30.0,15.0
27/02/2006,79,21.0,30.0,8.0,10.0,21.0,12.0
20/02/2006,64,30.0,21.0,26.0,82.0,79.0,38.0
13/02/2006,55,21.0,79.0,10.0,40.0,64.0,25.0
06/02/2006,18,79.0,64.0,82.0,21.0,55.0,43.0
30/01/2006,101,64.0,55.0,40.0,53.0,18.0,52.0
23/01/2006,63,55.0,18.0,21.0,39.0,101.0,35.0
16/01/2006,59,18.0,101.0,53.0,40.0,63.0,29.0
09/01/2006,6,101.0,63.0,39.0,42.0,59.0,54.0
02/01/2006,26,63.0,59.0,40.0,0.0,6.0,10.0
26/12/2005,150,59.0,6.0,42.0,43.0,26.0,30.0
19/12/2005,80,6.0,26.0,0.0,81.0,150.0,80.0
12/12/2005,82,26.0,150.0,43.0,59.0,80.0,140.0
05/12/2005,58,150.0,80.0,81.0,14.0,82.0,43.0
28/11/2005,84,80.0,82.0,59.0,34.0,58.0,108.0
21/11/2005,59,82.0,58.0,14.0,9.0,84.0,35.0
14/11/2005,60,58.0,84.0,34.0,66.0,59.0,68.0
07/11/2005,116,84.0,59.0,9.0,56.0,60.0,77.0
31/10/2005,99,59.0,60.0,66.0,52.0,116.0,106.0
24/10/2005,112,60.0,116.0,56.0,52.0,99.0,77.0
17/10/2005,197,116.0,99.0,52.0,55.0,112.0,76.0
10/10/2005,116,99.0,112.0,52.0,85.0,197.0,107.0
03/10/2005,215,112.0,197.0,55.0,50.0,116.0,100.0
26/09/2005,82,197.0,116.0,85.0,35.0,215.0,36.0
19/09/2005,155,116.0,215.0,50.0,62.0,82.0,80.0
12/09/2005,80,215.0,82.0,35.0,15.0,155.0,60.0
05/09/2005,13,82.0,155.0,62.0,23.0,80.0,38.0
29/08/2005,70,155.0,80.0,15.0,7.0,13.0,15.0
22/08/2005,391,80.0,13.0,23.0,34.0,70.0,42.0
15/08/2005,178,13.0,70.0,7.0,87.0,391.0,125.0
08/08/2005,124,70.0,391.0,34.0,14.0,178.0,85.0
01/08/2005,235,391.0,178.0,87.0,41.0,124.0,63.0
25/07/2005,88,178.0,124.0,14.0,33.0,235.0,85.0
18/07/2005,187,124.0,235.0,41.0,37.0,88.0,102.0
11/07/2005,140,235.0,88.0,33.0,21.0,187.0,133.0
04/07/2005,111,88.0,187.0,37.0,9.0,140.0,84.0
27/06/2005,72,187.0,140.0,21.0,28.0,111.0,61.0
20/06/2005,75,140.0,111.0,9.0,7.0,72.0,76.0
13/06/2005,44,111.0,72.0,28.0,5.0,75.0,107.0
06/06/2005,40,72.0,75.0,7.0,7.0,44.0,69.0
30/05/2005,37,75.0,44.0,5.0,6.0,40.0,23.0
23/05/2005,10,44.0,40.0,7.0,4.0,37.0,35.0
16/05/2005,6,40.0,37.0,6.0,5.0,10.0,15.0
09/05/2005,7,37.0,10.0,4.0,3.0,6.0,10.0
02/05/2005,5,10.0,6.0,5.0,5.0,7.0,9.0
25/04/2005,10,6.0,7.0,3.0,0.0,5.0,2.0
18/04/2005,11,7.0,5.0,5.0,1.0,10.0,1.0
11/04/2005,16,5.0,10.0,0.0,3.0,11.0,27.0
04/04/2005,20,10.0,11.0,1.0,5.0,16.0,8.0
28/03/2005,17,11.0,16.0,3.0,3.0,20.0,26.0
21/03/2005,21,16.0,20.0,5.0,1.0,17.0,43.0
14/03/2005,34,20.0,17.0,3.0,17.0,21.0,26.0
07/03/2005,28,17.0,21.0,1.0,3.0,34.0,39.0
28/02/2005,44,21.0,34.0,17.0,11.0,28.0,32.0
21/02/2005,33,34.0,28.0,3.0,11.0,44.0,46.0
14/02/2005,85,28.0,44.0,11.0,7.0,33.0,87.0
07/02/2005,16,44.0,33.0,11.0,13.0,85.0,33.0
31/01/2005,95,33.0,85.0,7.0,23.0,16.0,25.0
24/01/2005,43,85.0,16.0,13.0,15.0,95.0,122.0
17/01/2005,35,16.0,95.0,23.0,30.0,43.0,70.0
10/01/2005,30,95.0,43.0,15.0,7.0,35.0,72.0
03/01/2005,259,43.0,35.0,30.0,9.0,30.0,12.0
