Date,BUDAPEST,BUDAPEST.L2,BUDAPEST.L6,BUDAPEST.L8,BUDAPEST.L12,CSONGRAD.L8,CSONGRAD.L10,CSONGRAD.L12,CSONGRAD.L13,GYOR.L1,GYOR.L2,GYOR.L4,GYOR.L6,GYOR.L9,GYOR.L11,GYOR.L16,HEVES.L4,NOGRAD.L5,NOGRAD.L11,PEST.L2,PEST.L13,SZABOLCS.L3,ZALA.L3,ZALA.L8,ZALA.L9,ZALA.L10,ZALA.L14,ZALA.L15
15/09/2014,113.0,129.0,127.0,119.0,122.0,65.0,65.0,34.0,39.0,111.0,91.0,92.0,107.0,175.0,181.0,120.0,41.0,10.0,26.0,144.0,107.0,92.0,38.0,42.0,54.0,70.0,44.0,26.0
08/09/2014,114.0,113.0,135.0,114.0,174.0,64.0,56.0,26.0,34.0,119.0,111.0,128.0,148.0,105.0,118.0,70.0,42.0,25.0,10.0,125.0,124.0,41.0,30.0,54.0,42.0,54.0,31.0,44.0
01/09/2014,98.0,114.0,116.0,127.0,153.0,81.0,65.0,65.0,26.0,131.0,119.0,91.0,92.0,154.0,175.0,84.0,35.0,6.0,21.0,138.0,146.0,49.0,22.0,43.0,54.0,42.0,60.0,31.0
25/08/2014,140.0,98.0,132.0,135.0,115.0,48.0,64.0,56.0,65.0,146.0,131.0,111.0,128.0,107.0,105.0,114.0,70.0,26.0,12.0,83.0,119.0,41.0,23.0,36.0,43.0,54.0,60.0,60.0
18/08/2014,120.0,140.0,129.0,116.0,119.0,48.0,81.0,65.0,56.0,123.0,146.0,119.0,91.0,148.0,154.0,131.0,50.0,7.0,6.0,159.0,178.0,29.0,32.0,36.0,36.0,43.0,70.0,60.0
11/08/2014,173.0,120.0,113.0,132.0,114.0,54.0,48.0,64.0,65.0,122.0,123.0,131.0,111.0,92.0,107.0,181.0,51.0,26.0,9.0,153.0,112.0,57.0,47.0,38.0,36.0,36.0,54.0,70.0
04/08/2014,135.0,173.0,114.0,129.0,127.0,41.0,48.0,81.0,64.0,123.0,122.0,146.0,119.0,128.0,148.0,118.0,104.0,27.0,10.0,137.0,130.0,36.0,21.0,30.0,38.0,36.0,42.0,54.0
28/07/2014,143.0,135.0,98.0,113.0,135.0,66.0,54.0,48.0,81.0,128.0,123.0,123.0,131.0,91.0,92.0,175.0,96.0,22.0,25.0,165.0,113.0,93.0,43.0,22.0,30.0,38.0,54.0,42.0
21/07/2014,139.0,143.0,140.0,114.0,116.0,48.0,41.0,48.0,48.0,79.0,128.0,122.0,146.0,111.0,128.0,105.0,104.0,52.0,6.0,145.0,141.0,19.0,34.0,23.0,22.0,30.0,43.0,54.0
14/07/2014,155.0,139.0,120.0,98.0,132.0,40.0,66.0,54.0,48.0,93.0,79.0,123.0,123.0,119.0,91.0,154.0,103.0,44.0,26.0,66.0,162.0,84.0,37.0,32.0,23.0,22.0,36.0,43.0
07/07/2014,98.0,155.0,173.0,140.0,129.0,51.0,48.0,41.0,54.0,62.0,93.0,128.0,122.0,131.0,111.0,107.0,62.0,55.0,7.0,117.0,121.0,14.0,47.0,47.0,32.0,23.0,36.0,36.0
30/06/2014,87.0,98.0,135.0,120.0,113.0,25.0,40.0,66.0,41.0,66.0,62.0,79.0,123.0,146.0,119.0,148.0,83.0,39.0,26.0,89.0,144.0,73.0,70.0,21.0,47.0,32.0,38.0,36.0
23/06/2014,110.0,87.0,143.0,173.0,114.0,37.0,51.0,48.0,66.0,41.0,66.0,93.0,128.0,123.0,131.0,92.0,47.0,29.0,27.0,91.0,125.0,60.0,18.0,43.0,21.0,47.0,30.0,38.0
16/06/2014,70.0,110.0,139.0,135.0,98.0,27.0,25.0,40.0,48.0,35.0,41.0,62.0,79.0,122.0,146.0,128.0,42.0,30.0,22.0,31.0,138.0,86.0,34.0,34.0,43.0,21.0,22.0,30.0
09/06/2014,43.0,70.0,155.0,143.0,140.0,48.0,37.0,51.0,40.0,16.0,35.0,66.0,93.0,123.0,123.0,91.0,40.0,10.0,52.0,25.0,83.0,35.0,14.0,37.0,34.0,43.0,23.0,22.0
02/06/2014,37.0,43.0,98.0,139.0,120.0,30.0,27.0,25.0,51.0,9.0,16.0,41.0,62.0,128.0,122.0,111.0,18.0,10.0,44.0,23.0,159.0,8.0,7.0,47.0,37.0,34.0,32.0,23.0
26/05/2014,30.0,37.0,87.0,155.0,173.0,24.0,48.0,37.0,25.0,1.0,9.0,35.0,66.0,79.0,123.0,119.0,25.0,12.0,55.0,19.0,153.0,18.0,9.0,70.0,47.0,37.0,47.0,32.0
19/05/2014,21.0,30.0,110.0,98.0,135.0,13.0,30.0,27.0,37.0,12.0,1.0,16.0,41.0,93.0,128.0,131.0,12.0,7.0,39.0,20.0,137.0,11.0,2.0,18.0,70.0,47.0,21.0,47.0
12/05/2014,22.0,21.0,70.0,87.0,143.0,32.0,24.0,48.0,27.0,8.0,12.0,9.0,35.0,62.0,79.0,146.0,5.0,2.0,29.0,7.0,165.0,7.0,4.0,34.0,18.0,70.0,43.0,21.0
05/05/2014,15.0,22.0,43.0,110.0,139.0,20.0,13.0,30.0,48.0,7.0,8.0,1.0,16.0,66.0,93.0,123.0,5.0,2.0,30.0,22.0,145.0,6.0,1.0,14.0,34.0,18.0,34.0,43.0
28/04/2014,11.0,15.0,37.0,70.0,155.0,8.0,32.0,24.0,30.0,6.0,7.0,12.0,9.0,41.0,62.0,122.0,5.0,5.0,10.0,13.0,66.0,1.0,2.0,7.0,14.0,34.0,37.0,34.0
21/04/2014,7.0,11.0,30.0,43.0,98.0,6.0,20.0,13.0,24.0,2.0,6.0,8.0,1.0,35.0,66.0,123.0,5.0,2.0,10.0,9.0,117.0,4.0,2.0,9.0,7.0,14.0,47.0,37.0
14/04/2014,12.0,7.0,21.0,37.0,87.0,6.0,8.0,32.0,13.0,1.0,2.0,7.0,12.0,16.0,41.0,128.0,2.0,0.0,12.0,8.0,89.0,2.0,0.0,2.0,9.0,7.0,70.0,47.0
07/04/2014,5.0,12.0,22.0,30.0,110.0,6.0,6.0,20.0,32.0,2.0,1.0,6.0,8.0,9.0,35.0,79.0,2.0,0.0,7.0,18.0,91.0,3.0,0.0,4.0,2.0,9.0,18.0,70.0
31/03/2014,17.0,5.0,15.0,21.0,70.0,3.0,6.0,8.0,20.0,1.0,2.0,2.0,7.0,1.0,16.0,93.0,5.0,3.0,2.0,15.0,31.0,6.0,3.0,1.0,4.0,2.0,34.0,18.0
24/03/2014,11.0,17.0,11.0,22.0,43.0,0.0,6.0,6.0,8.0,5.0,1.0,1.0,6.0,12.0,9.0,62.0,1.0,6.0,2.0,27.0,25.0,6.0,16.0,2.0,1.0,4.0,14.0,34.0
17/03/2014,27.0,11.0,7.0,15.0,37.0,3.0,3.0,6.0,6.0,6.0,5.0,2.0,2.0,8.0,1.0,66.0,3.0,4.0,5.0,51.0,23.0,3.0,13.0,2.0,2.0,1.0,7.0,14.0
10/03/2014,23.0,27.0,12.0,11.0,30.0,3.0,0.0,6.0,6.0,8.0,6.0,1.0,1.0,7.0,12.0,41.0,7.0,0.0,2.0,79.0,19.0,12.0,17.0,0.0,2.0,2.0,9.0,7.0
03/03/2014,30.0,23.0,5.0,7.0,21.0,1.0,3.0,3.0,6.0,18.0,8.0,5.0,2.0,6.0,8.0,35.0,7.0,4.0,0.0,77.0,20.0,14.0,8.0,0.0,0.0,2.0,2.0,9.0
24/02/2014,48.0,30.0,17.0,12.0,22.0,3.0,3.0,0.0,3.0,20.0,18.0,6.0,1.0,2.0,7.0,16.0,27.0,8.0,0.0,70.0,7.0,6.0,16.0,3.0,0.0,0.0,4.0,2.0
17/02/2014,37.0,48.0,11.0,5.0,15.0,1.0,1.0,3.0,0.0,19.0,20.0,8.0,5.0,1.0,6.0,9.0,11.0,15.0,3.0,67.0,22.0,7.0,18.0,16.0,3.0,0.0,1.0,4.0
10/02/2014,32.0,37.0,27.0,17.0,11.0,1.0,3.0,3.0,3.0,27.0,19.0,18.0,6.0,2.0,2.0,1.0,21.0,15.0,6.0,48.0,13.0,33.0,40.0,13.0,16.0,3.0,2.0,1.0
03/02/2014,49.0,32.0,23.0,11.0,7.0,0.0,1.0,1.0,3.0,27.0,27.0,20.0,8.0,1.0,1.0,12.0,23.0,13.0,4.0,31.0,9.0,24.0,34.0,17.0,13.0,16.0,2.0,2.0
27/01/2014,67.0,49.0,30.0,27.0,12.0,8.0,1.0,3.0,1.0,34.0,27.0,19.0,18.0,5.0,2.0,8.0,20.0,26.0,0.0,81.0,8.0,19.0,44.0,8.0,17.0,13.0,0.0,2.0
20/01/2014,106.0,67.0,48.0,23.0,5.0,18.0,0.0,1.0,3.0,38.0,34.0,27.0,20.0,6.0,1.0,7.0,21.0,10.0,4.0,44.0,18.0,24.0,65.0,16.0,8.0,17.0,0.0,0.0
13/01/2014,83.0,106.0,37.0,30.0,17.0,12.0,8.0,1.0,1.0,25.0,38.0,27.0,19.0,8.0,5.0,6.0,33.0,21.0,8.0,133.0,15.0,28.0,38.0,18.0,16.0,8.0,3.0,0.0
06/01/2014,114.0,83.0,32.0,48.0,11.0,19.0,18.0,0.0,1.0,35.0,25.0,34.0,27.0,18.0,6.0,2.0,15.0,39.0,15.0,85.0,27.0,38.0,47.0,40.0,18.0,16.0,16.0,3.0
30/12/2013,129.0,114.0,49.0,37.0,27.0,9.0,12.0,8.0,0.0,47.0,35.0,38.0,27.0,20.0,8.0,1.0,25.0,17.0,15.0,163.0,51.0,18.0,40.0,34.0,40.0,18.0,13.0,16.0
23/12/2013,189.0,129.0,67.0,32.0,23.0,24.0,19.0,18.0,8.0,31.0,47.0,25.0,34.0,19.0,18.0,2.0,35.0,28.0,13.0,173.0,79.0,28.0,31.0,44.0,34.0,40.0,17.0,13.0
16/12/2013,79.0,189.0,106.0,49.0,30.0,16.0,9.0,12.0,18.0,28.0,31.0,35.0,38.0,27.0,20.0,1.0,25.0,7.0,26.0,102.0,77.0,35.0,107.0,65.0,44.0,34.0,8.0,17.0
09/12/2013,163.0,79.0,83.0,67.0,48.0,28.0,24.0,19.0,12.0,22.0,28.0,47.0,25.0,27.0,19.0,5.0,32.0,44.0,10.0,114.0,70.0,30.0,67.0,38.0,65.0,44.0,16.0,8.0
02/12/2013,110.0,163.0,114.0,106.0,37.0,37.0,16.0,9.0,19.0,35.0,22.0,31.0,35.0,34.0,27.0,6.0,28.0,51.0,21.0,121.0,67.0,19.0,43.0,47.0,38.0,65.0,18.0,16.0
25/11/2013,158.0,110.0,129.0,83.0,32.0,9.0,28.0,24.0,9.0,42.0,35.0,28.0,47.0,38.0,27.0,8.0,13.0,48.0,39.0,105.0,48.0,24.0,60.0,40.0,47.0,38.0,40.0,18.0
18/11/2013,182.0,158.0,189.0,114.0,49.0,3.0,37.0,16.0,24.0,59.0,42.0,22.0,31.0,25.0,34.0,18.0,33.0,23.0,17.0,104.0,31.0,41.0,45.0,31.0,40.0,47.0,34.0,40.0
11/11/2013,136.0,182.0,79.0,129.0,67.0,48.0,9.0,28.0,16.0,60.0,59.0,35.0,28.0,35.0,38.0,20.0,19.0,53.0,28.0,119.0,81.0,40.0,48.0,107.0,31.0,40.0,44.0,34.0
04/11/2013,207.0,136.0,163.0,189.0,106.0,100.0,3.0,37.0,28.0,82.0,60.0,42.0,22.0,47.0,25.0,19.0,21.0,39.0,7.0,170.0,44.0,54.0,85.0,67.0,107.0,31.0,65.0,44.0
28/10/2013,251.0,207.0,110.0,79.0,83.0,26.0,48.0,9.0,37.0,78.0,82.0,59.0,35.0,31.0,35.0,27.0,10.0,33.0,44.0,140.0,133.0,21.0,60.0,43.0,67.0,107.0,38.0,65.0
21/10/2013,141.0,251.0,158.0,163.0,114.0,44.0,100.0,3.0,9.0,33.0,78.0,60.0,42.0,28.0,47.0,27.0,34.0,23.0,51.0,181.0,85.0,64.0,76.0,60.0,43.0,67.0,47.0,38.0
14/10/2013,193.0,141.0,182.0,110.0,129.0,48.0,26.0,48.0,3.0,87.0,33.0,82.0,59.0,22.0,31.0,34.0,19.0,24.0,48.0,149.0,163.0,58.0,37.0,45.0,60.0,43.0,40.0,47.0
07/10/2013,169.0,193.0,136.0,158.0,189.0,40.0,44.0,100.0,48.0,49.0,87.0,78.0,60.0,35.0,28.0,38.0,24.0,45.0,23.0,160.0,173.0,38.0,58.0,48.0,45.0,60.0,31.0,40.0
30/09/2013,141.0,169.0,207.0,182.0,79.0,121.0,48.0,26.0,100.0,59.0,49.0,33.0,82.0,42.0,22.0,25.0,30.0,39.0,53.0,161.0,102.0,31.0,39.0,85.0,48.0,45.0,107.0,31.0
23/09/2013,193.0,141.0,251.0,136.0,163.0,102.0,40.0,44.0,26.0,52.0,59.0,87.0,78.0,59.0,35.0,35.0,50.0,47.0,39.0,168.0,114.0,8.0,81.0,60.0,85.0,48.0,67.0,107.0
16/09/2013,359.0,193.0,141.0,207.0,110.0,85.0,121.0,48.0,44.0,71.0,52.0,49.0,33.0,60.0,42.0,47.0,12.0,52.0,33.0,153.0,121.0,81.0,36.0,76.0,60.0,85.0,43.0,67.0
09/09/2013,268.0,359.0,193.0,251.0,158.0,118.0,102.0,40.0,48.0,76.0,71.0,59.0,87.0,82.0,59.0,31.0,18.0,49.0,23.0,157.0,105.0,81.0,42.0,37.0,76.0,60.0,60.0,43.0
02/09/2013,168.0,268.0,169.0,141.0,182.0,85.0,85.0,121.0,40.0,65.0,76.0,52.0,49.0,78.0,60.0,28.0,28.0,53.0,24.0,221.0,104.0,71.0,45.0,58.0,37.0,76.0,45.0,60.0
26/08/2013,338.0,168.0,141.0,193.0,136.0,91.0,118.0,102.0,121.0,68.0,65.0,71.0,59.0,33.0,82.0,22.0,16.0,37.0,45.0,165.0,119.0,95.0,22.0,39.0,58.0,37.0,48.0,45.0
19/08/2013,186.0,338.0,193.0,169.0,207.0,131.0,85.0,85.0,102.0,54.0,68.0,76.0,52.0,87.0,78.0,35.0,23.0,40.0,39.0,121.0,170.0,67.0,74.0,81.0,39.0,58.0,85.0,48.0
12/08/2013,266.0,186.0,359.0,141.0,251.0,91.0,91.0,118.0,85.0,69.0,54.0,65.0,71.0,49.0,33.0,42.0,37.0,37.0,47.0,126.0,140.0,83.0,62.0,36.0,81.0,39.0,60.0,85.0
05/08/2013,240.0,266.0,268.0,193.0,141.0,152.0,131.0,85.0,118.0,51.0,69.0,68.0,76.0,59.0,87.0,59.0,25.0,32.0,52.0,143.0,181.0,73.0,67.0,42.0,36.0,81.0,76.0,60.0
29/07/2013,162.0,240.0,168.0,359.0,193.0,108.0,91.0,91.0,85.0,85.0,51.0,54.0,65.0,52.0,49.0,60.0,30.0,50.0,49.0,151.0,149.0,48.0,30.0,45.0,42.0,36.0,37.0,76.0
22/07/2013,264.0,162.0,338.0,268.0,169.0,165.0,152.0,131.0,91.0,70.0,85.0,69.0,68.0,71.0,59.0,82.0,22.0,22.0,53.0,105.0,160.0,63.0,51.0,22.0,45.0,42.0,58.0,37.0
15/07/2013,133.0,264.0,186.0,168.0,141.0,107.0,108.0,91.0,131.0,66.0,70.0,51.0,54.0,76.0,52.0,78.0,34.0,58.0,37.0,145.0,161.0,30.0,37.0,74.0,22.0,45.0,39.0,58.0
08/07/2013,201.0,133.0,266.0,338.0,193.0,82.0,165.0,152.0,91.0,63.0,66.0,85.0,69.0,65.0,71.0,33.0,28.0,31.0,40.0,134.0,168.0,45.0,40.0,62.0,74.0,22.0,81.0,39.0
01/07/2013,236.0,201.0,240.0,186.0,359.0,68.0,107.0,108.0,152.0,118.0,63.0,70.0,51.0,68.0,76.0,87.0,44.0,30.0,37.0,130.0,153.0,41.0,31.0,67.0,62.0,74.0,36.0,81.0
24/06/2013,111.0,236.0,162.0,266.0,268.0,149.0,82.0,165.0,108.0,24.0,118.0,66.0,85.0,54.0,65.0,49.0,26.0,57.0,32.0,89.0,157.0,55.0,12.0,30.0,67.0,62.0,42.0,36.0
17/06/2013,76.0,111.0,264.0,240.0,168.0,109.0,68.0,107.0,165.0,29.0,24.0,63.0,70.0,69.0,68.0,59.0,43.0,50.0,50.0,49.0,221.0,37.0,26.0,51.0,30.0,67.0,45.0,42.0
10/06/2013,52.0,76.0,133.0,162.0,338.0,118.0,149.0,82.0,107.0,23.0,29.0,118.0,66.0,51.0,54.0,52.0,19.0,27.0,22.0,24.0,165.0,17.0,20.0,37.0,51.0,30.0,22.0,45.0
03/06/2013,30.0,52.0,201.0,264.0,186.0,99.0,109.0,68.0,82.0,12.0,23.0,24.0,63.0,85.0,69.0,71.0,11.0,14.0,58.0,29.0,121.0,17.0,9.0,40.0,37.0,51.0,74.0,22.0
27/05/2013,30.0,30.0,236.0,133.0,266.0,51.0,118.0,149.0,68.0,4.0,12.0,29.0,118.0,70.0,51.0,76.0,6.0,5.0,31.0,15.0,126.0,12.0,6.0,31.0,40.0,37.0,62.0,74.0
20/05/2013,74.0,30.0,111.0,201.0,240.0,26.0,99.0,109.0,149.0,2.0,4.0,23.0,24.0,66.0,85.0,65.0,6.0,7.0,30.0,4.0,143.0,3.0,1.0,12.0,31.0,40.0,67.0,62.0
13/05/2013,45.0,74.0,76.0,236.0,162.0,27.0,51.0,118.0,109.0,2.0,2.0,12.0,29.0,63.0,70.0,68.0,2.0,4.0,57.0,6.0,151.0,2.0,0.0,26.0,12.0,31.0,30.0,67.0
06/05/2013,41.0,45.0,52.0,111.0,264.0,32.0,26.0,99.0,118.0,2.0,2.0,4.0,23.0,118.0,66.0,54.0,3.0,5.0,50.0,4.0,105.0,9.0,0.0,20.0,26.0,12.0,51.0,30.0
29/04/2013,20.0,41.0,30.0,76.0,133.0,3.0,27.0,51.0,99.0,1.0,2.0,2.0,12.0,24.0,63.0,69.0,4.0,3.0,27.0,17.0,145.0,1.0,0.0,9.0,20.0,26.0,37.0,51.0
22/04/2013,15.0,20.0,30.0,52.0,201.0,16.0,32.0,26.0,51.0,1.0,1.0,2.0,4.0,29.0,118.0,51.0,1.0,1.0,14.0,1.0,134.0,2.0,2.0,6.0,9.0,20.0,40.0,37.0
15/04/2013,11.0,15.0,74.0,30.0,236.0,11.0,3.0,27.0,26.0,3.0,1.0,2.0,2.0,23.0,24.0,85.0,4.0,0.0,5.0,4.0,130.0,3.0,0.0,1.0,6.0,9.0,31.0,40.0
08/04/2013,10.0,11.0,45.0,30.0,111.0,9.0,16.0,32.0,27.0,7.0,3.0,1.0,2.0,12.0,29.0,70.0,3.0,2.0,7.0,7.0,89.0,5.0,2.0,0.0,1.0,6.0,12.0,31.0
01/04/2013,9.0,10.0,41.0,74.0,76.0,1.0,11.0,3.0,32.0,5.0,7.0,1.0,2.0,4.0,23.0,66.0,4.0,2.0,4.0,12.0,49.0,6.0,1.0,0.0,0.0,1.0,26.0,12.0
25/03/2013,35.0,9.0,20.0,45.0,52.0,2.0,9.0,16.0,3.0,9.0,5.0,3.0,1.0,2.0,12.0,63.0,2.0,2.0,5.0,8.0,24.0,10.0,3.0,0.0,0.0,0.0,20.0,26.0
18/03/2013,20.0,35.0,15.0,41.0,30.0,6.0,1.0,11.0,16.0,7.0,9.0,7.0,1.0,2.0,4.0,118.0,9.0,2.0,3.0,29.0,29.0,7.0,10.0,2.0,0.0,0.0,9.0,20.0
11/03/2013,19.0,20.0,11.0,20.0,30.0,5.0,2.0,9.0,11.0,8.0,7.0,5.0,3.0,2.0,2.0,24.0,2.0,9.0,1.0,29.0,15.0,6.0,10.0,0.0,2.0,0.0,6.0,9.0
04/03/2013,51.0,19.0,10.0,15.0,74.0,0.0,6.0,1.0,9.0,11.0,8.0,9.0,7.0,1.0,2.0,29.0,11.0,12.0,0.0,23.0,4.0,24.0,4.0,2.0,0.0,2.0,1.0,6.0
25/02/2013,53.0,51.0,9.0,11.0,45.0,3.0,5.0,2.0,1.0,9.0,11.0,7.0,5.0,1.0,2.0,23.0,13.0,19.0,2.0,46.0,6.0,13.0,12.0,1.0,2.0,0.0,0.0,1.0
18/02/2013,77.0,53.0,35.0,10.0,41.0,1.0,0.0,6.0,2.0,12.0,9.0,8.0,9.0,3.0,1.0,12.0,7.0,4.0,2.0,47.0,4.0,14.0,6.0,3.0,1.0,2.0,0.0,0.0
11/02/2013,62.0,77.0,20.0,9.0,20.0,9.0,3.0,5.0,6.0,13.0,12.0,11.0,7.0,7.0,1.0,4.0,25.0,17.0,2.0,71.0,17.0,42.0,18.0,10.0,3.0,1.0,0.0,0.0
04/02/2013,93.0,62.0,19.0,35.0,15.0,4.0,1.0,0.0,5.0,31.0,13.0,9.0,8.0,5.0,3.0,2.0,28.0,7.0,2.0,94.0,1.0,14.0,13.0,10.0,10.0,3.0,2.0,0.0
28/01/2013,78.0,93.0,51.0,20.0,11.0,11.0,9.0,3.0,0.0,31.0,31.0,12.0,11.0,9.0,7.0,2.0,36.0,15.0,9.0,127.0,4.0,7.0,16.0,4.0,10.0,10.0,0.0,2.0
21/01/2013,82.0,78.0,53.0,19.0,10.0,19.0,4.0,1.0,3.0,35.0,31.0,13.0,9.0,7.0,5.0,2.0,56.0,18.0,12.0,99.0,7.0,46.0,11.0,12.0,4.0,10.0,2.0,0.0
14/01/2013,84.0,82.0,77.0,51.0,9.0,7.0,11.0,9.0,1.0,41.0,35.0,31.0,12.0,8.0,9.0,1.0,54.0,62.0,19.0,103.0,12.0,21.0,32.0,6.0,12.0,4.0,1.0,2.0
07/01/2013,58.0,84.0,62.0,53.0,35.0,20.0,19.0,4.0,9.0,35.0,41.0,31.0,13.0,11.0,7.0,1.0,50.0,41.0,4.0,125.0,8.0,16.0,35.0,18.0,6.0,12.0,3.0,1.0
31/12/2012,114.0,58.0,93.0,77.0,20.0,17.0,7.0,11.0,4.0,65.0,35.0,35.0,31.0,9.0,8.0,3.0,68.0,59.0,17.0,68.0,29.0,5.0,32.0,13.0,18.0,6.0,10.0,3.0
24/12/2012,145.0,114.0,78.0,62.0,19.0,18.0,20.0,19.0,11.0,59.0,65.0,41.0,31.0,12.0,11.0,7.0,105.0,8.0,7.0,179.0,29.0,1.0,24.0,16.0,13.0,18.0,10.0,10.0
17/12/2012,93.0,145.0,82.0,93.0,51.0,7.0,17.0,7.0,19.0,56.0,59.0,35.0,35.0,13.0,9.0,5.0,82.0,46.0,15.0,205.0,23.0,1.0,42.0,11.0,16.0,13.0,4.0,10.0
10/12/2012,129.0,93.0,84.0,78.0,53.0,39.0,18.0,20.0,7.0,67.0,56.0,65.0,41.0,31.0,12.0,9.0,138.0,1.0,18.0,118.0,46.0,53.0,63.0,32.0,11.0,16.0,12.0,4.0
03/12/2012,114.0,129.0,58.0,82.0,77.0,31.0,7.0,17.0,20.0,66.0,67.0,59.0,35.0,31.0,13.0,7.0,210.0,30.0,62.0,155.0,47.0,38.0,36.0,35.0,32.0,11.0,6.0,12.0
26/11/2012,86.0,114.0,114.0,84.0,62.0,11.0,39.0,18.0,17.0,58.0,66.0,56.0,65.0,35.0,31.0,8.0,103.0,106.0,41.0,175.0,71.0,46.0,67.0,32.0,35.0,32.0,18.0,6.0
19/11/2012,127.0,86.0,145.0,58.0,93.0,30.0,31.0,7.0,18.0,74.0,58.0,67.0,59.0,41.0,31.0,11.0,151.0,56.0,59.0,135.0,94.0,61.0,54.0,24.0,32.0,35.0,13.0,18.0
12/11/2012,106.0,127.0,93.0,114.0,78.0,28.0,11.0,39.0,7.0,87.0,74.0,66.0,56.0,35.0,35.0,9.0,110.0,64.0,8.0,86.0,127.0,125.0,70.0,42.0,24.0,32.0,16.0,13.0
